text;from;to;moment
Quel est l'itinéraire entre Varilhes et Moulis en médoc;Varilhes;Moulis en médoc;
Saint yrieix la perche depuis Égletons;Égletons;Saint yrieix la perche;
itinéraire jusqu'a Novéant sur moselle en partant de Sainte pazanne;Sainte pazanne;Novéant sur moselle;
arrivée Hettange grande et départ Mareil sur mauldre;Mareil sur mauldre;Hettange grande;
Je veux aller de Sarrance à Le Pont chrétien chabenet;Sarrance;Le Pont chrétien chabenet;
Je cherche un train Villard bonnot Barr jeudi matin;Villard bonnot;Barr;jeudi matin
Ma destination et ma provenance sont Allassac et Tracy sur loire;Tracy sur loire;Allassac;
Ma provenance et ma destination sont Sénas et Crottet;Sénas;Crottet;
Emmène moi de Montauban à Dangé saint romain;Montauban;Dangé saint romain;
Ma provenance et ma destination sont Le Plessis belleville et Arles;Le Plessis belleville;Arles;
je partirais de Devecey pour aller à Calonne ricouart;Devecey;Calonne ricouart;
Comment aller de Thoiry à Joue les tours;Thoiry;Joue les tours;
train Pessac Malesherbes;Pessac;Malesherbes;
Je veux me rendre à Gignac en partant de Cerbère;Cerbère;Gignac;
La ligne Nuits Cheilly lès maranges;Nuits;Cheilly lès maranges;
Je quitte L'hospitalet près l'andorre pour Carhaix plouguer;L'hospitalet près l'andorre;Carhaix plouguer;
jeudi matin je partirais de Arnage pour aller à Bétaille;Arnage;Bétaille;jeudi matin
Ma destination et ma provenance sont Saint pierre le viger et Le Genest saint isle;Le Genest saint isle;Saint pierre le viger;
Je prends le train Wizernes Chartrettes;Wizernes;Chartrettes;
Limeyrat maintenant depuis Bellac;Bellac;Limeyrat;maintenant
Je cherche le train le plus rapide pour faire Rolleville Hombourg budange;Rolleville;Hombourg budange;
train Marchezais Saint ay;Marchezais;Saint ay;
je vais à Fretin depuis Saint mard;Saint mard;Fretin;
Je pars de Égletons pour aller à Haybes;Égletons;Haybes;
arrivée Vervins et départ Grésy sur aix;Grésy sur aix;Vervins;
Donne moi l'itinéraire pour aller à Parent en partant de Saint cyr en val;Saint cyr en val;Parent;
Je prends le train Rozières sur mouzon Enveitg;Rozières sur mouzon;Enveitg;
Je pars de Turckheim pour aller à Senozan;Turckheim;Senozan;
Je suis à Aubin saint vaast et je veux aller à Lisle sur tarn;Aubin saint vaast;Lisle sur tarn;
Je suis actuellement à Varilhes et j aimerais partir à Bitche;Varilhes;Bitche;
Je cherche un train Veuves Brignais dimanche soir;Veuves;Brignais;dimanche soir
Comment aller de Lunas à Coussey;Lunas;Coussey;
Itinéraire Dammarie les lys Le Cateau cambrésis;Dammarie les lys;Le Cateau cambrésis;
lundi soir  je voudrais aller de Sarreinsming à Bram;Sarreinsming;Bram;lundi soir
Je veux aller de Firminy à Ruffey lès echirey dans une heure;Firminy;Ruffey lès echirey;dans une heure
Montlouis sur loire depuis Mouzon;Mouzon;Montlouis sur loire;
train Saint julien les villas Saint sever de saintonge samedi;Saint julien les villas;Saint sever de saintonge;samedi
Je voudrais aller de Bruyères sur oise à Pierre buffière;Bruyères sur oise;Pierre buffière;
Saint émilion Bacouël vendredi matin;Saint émilion;Bacouël;vendredi matin
Emmène moi de Palaiseau à Ossun;Palaiseau;Ossun;
Je cherche un train Ebblinghem Roeulx;Ebblinghem;Roeulx;
Quel trajet pour Forbach Maubeuge;Forbach;Maubeuge;
lundi après midi  je voudrais aller de Le Pont chrétien chabenet à Blaisy bas;Le Pont chrétien chabenet;Blaisy bas;lundi après-midi
Je prends le train Lapeyrouse Benfeld;Lapeyrouse;Benfeld;
demain soir  je voudrais aller de Bonnemain à Coutras;Bonnemain;Coutras;demain soir
Je suis à Hatrize et je veux aller à Bussac forêt;Hatrize;Bussac forêt;
Le train Boran sur oise Saujon;Boran sur oise;Saujon;
arrivée Villepinte et départ Manosque;Manosque;Villepinte;
j'aimerais me rendre à Mauzac et grand castang en quittant Chavanges;Chavanges;Mauzac et grand castang;
je partirais de Balsièges pour aller à La Roche maurice;Balsièges;La Roche maurice;
lundi soir  je vais à Prouvy depuis Rivarennes;Rivarennes;Prouvy;lundi soir
Je suis actuellement à Landry et j aimerais partir à Luché thouarsais;Landry;Luché thouarsais;
J'aimerais me rendre sur Saint ay en partant de Saint junien;Saint junien;Saint ay;
Itiniréraire jusqu'a Joeuf depuis Bourbriac;Bourbriac;Joeuf;
Itinéraire Abbaretz Nantouillet;Abbaretz;Nantouillet;
Je pars de Pleudihen sur rance pour aller à Septemes les vallons;Pleudihen sur rance;Septemes les vallons;
dans une heure je partirais de Pontorson pour aller à La Souterraine;Pontorson;La Souterraine;dans une heure
Je cherche le train le plus rapide pour faire Port la nouvelle Sainte gauburge sainte colombe dimanche;Port la nouvelle;Sainte gauburge sainte colombe;dimanche
je viens de Viarmes et je veux aller à Saint émilion;Viarmes;Saint émilion;
J'aimerais me rendre sur Vissac auteyrac en partant de Dommartin;Dommartin;Vissac auteyrac;
trajet Le Rove Aubigné racan;Le Rove;Aubigné racan;
Guide moi de Vissac auteyrac vers Gueret;Vissac auteyrac;Gueret;
Je cherche le train le plus rapide pour faire Saint patrice Montceau les mines dans cinq heures;Saint patrice;Montceau les mines;dans cinq heures
Je suis à Montlucon et je souhaite me rendre à Raedersheim;Montlucon;Raedersheim;
Je cherche un train Saint sébastien La Meilleraie tillay;Saint sébastien;La Meilleraie tillay;
je veux partir de La Rouge pour Montoir de bretagne;La Rouge;Montoir de bretagne;
Je cherche un trajet de Orval à Charmes;Orval;Charmes;
Je veux aller de Danjoutin à Bengy sur craon;Danjoutin;Bengy sur craon;
Lesparre médoc Crottet;Lesparre médoc;Crottet;
Je pars jeudi soir de Fosses pour aller à Touët de l'escarène;Fosses;Touët de l'escarène;jeudi soir
Je cherche le train le plus rapide pour faire Montataire Ferrières en bray mardi matin;Montataire;Ferrières en bray;mardi matin
Comment aller de Bethune à Rouxmesnil bouteilles lundi;Bethune;Rouxmesnil bouteilles;lundi
Je partirais de Rochefort pour aller à Chevillon;Rochefort;Chevillon;
je vais à Veauche depuis Conlie;Conlie;Veauche;
jeudi après midi je partirais de Fontan pour aller à Harfleur;Fontan;Harfleur;jeudi après-midi
Trouve un train partant de Marignane et allant à Marcq en baroeul;Marignane;Marcq en baroeul;
Je cherche un train Autun Bar sur seine;Autun;Bar sur seine;
Quel trajet pour Moirans Saint bonnet de rochefort;Moirans;Saint bonnet de rochefort;
Je souhaiterai avoir des informations sur le train Bohain en vermandois Angers qui part lundi soir;Bohain en vermandois;Angers;lundi soir
Je cherche un train Laroque timbaut Jussey aujourd'hui;Laroque timbaut;Jussey;aujourd'hui
L'arrivée et le départ de mon voyage sont Méré et Sorcy saint martin;Sorcy saint martin;Méré;
j'aimerais partir de Éloyes pour me rendre à Saint denis;Éloyes;Saint denis;
Je veux aller à Tillenay depuis Ballan miré;Ballan miré;Tillenay;
Je quitte Rodez pour Yutz;Rodez;Yutz;
Je souhaiterai avoir des informations sur le train Cannes Labruguière;Cannes;Labruguière;
Rousies depuis Ébersviller;Ébersviller;Rousies;
Comment aller à La Verriere depuis Le Parcq;Le Parcq;La Verriere;
Carquefou mercredi après midi depuis Beaune;Beaune;Carquefou;mercredi après-midi
La ligne Saint éloy les mines Vélines;Saint éloy les mines;Vélines;
J'irai bien à la gare de Éveux depuis la gare de Montbrison;Montbrison;Éveux;
Je souhaiterai avoir des informations sur le train Rosheim Châtillon qui part demain matin;Rosheim;Châtillon;demain matin
Je pars de Tain l'hermitage pour aller à Plouvara;Tain l'hermitage;Plouvara;
Je cherche le train le plus rapide pour faire Mondelange Conflans sainte honorine;Mondelange;Conflans sainte honorine;
j'aimerais partir de Vernassal pour me rendre à Mougins;Vernassal;Mougins;
Je cherche un train Le Grand quevilly Varen;Le Grand quevilly;Varen;
Je suis actuellement à Gergy et j aimerais partir à Coarraze jeudi après midi;Gergy;Coarraze;jeudi après-midi
Juvisy sur orge depuis Loisy sur marne;Loisy sur marne;Juvisy sur orge;
Donne moi l'itinéraire pour aller à Bantzenheim en partant de Tournemire;Tournemire;Bantzenheim;
je vais à Mont saint martin depuis Saint ouen l'aumone;Saint ouen l'aumone;Mont saint martin;
Trouve le chemin pour Saint jean pied de port depuis Fromental ;Fromental;Saint jean pied de port;
Je pars de Lentilly pour aller à Montgeroult jeudi;Lentilly;Montgeroult;jeudi
vendredi matin  je voudrais aller de Couffoulens à Caulnes;Couffoulens;Caulnes;vendredi matin
Comment aller à Hermes depuis Crespin;Crespin;Hermes;
L'arrivée et le départ de mon voyage sont Baisieux et Arbanats;Arbanats;Baisieux;
Le train Noyal sur vilaine Faulquemont;Noyal sur vilaine;Faulquemont;
Squiffiec Ambares et lagrave;Squiffiec;Ambares et lagrave;
Je cherche un train Saint andré de l'eure Fronville vendredi soir;Saint andré de l'eure;Fronville;vendredi soir
Quel trajet pour Bassens Villiers sur loir;Bassens;Villiers sur loir;
Quel est l'itinéraire entre Autrey lès gray et Bischwiller;Autrey lès gray;Bischwiller;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Saint manvieu norrey et gare de Notre dame de bondeville;Saint manvieu norrey;Notre dame de bondeville;
Je cherche un trajet de Ailly sur somme à Montbard dimanche;Ailly sur somme;Montbard;dimanche
Quel trajet pour Avignon Loulay;Avignon;Loulay;
Le train Roubaix Mantes la jolie;Roubaix;Mantes la jolie;
itinéraire de voyage de Gennevilliers vers Montbartier;Gennevilliers;Montbartier;
Saint georges de reneins Courtenay jeudi;Saint georges de reneins;Courtenay;jeudi
Je veux me rendre à Orly en partant de Sisteron;Sisteron;Orly;
Je veux me rendre à Pomas en partant de Baillargues;Baillargues;Pomas;
Je pars vendredi matin de Mirebeau sur bèze pour aller à Mézin;Mirebeau sur bèze;Mézin;vendredi matin
Je pars de Frejus pour aller à Nantes;Frejus;Nantes;
Je me rends à Longueville en partant de Mertzwiller;Mertzwiller;Longueville;
itinéraire de voyage de Cinq mars la pile vers Colomiers;Cinq mars la pile;Colomiers;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Fleury les aubrais et gare de Chindrieux;Fleury les aubrais;Chindrieux;
Je pars mercredi après midi de Béard pour aller à Évron;Béard;Évron;mercredi après-midi
Itiniréraire jusqu'a Bourth depuis Saint omer en chaussée;Saint omer en chaussée;Bourth;
itinéraire de voyage de Orange vers Crouy sur ourcq;Orange;Crouy sur ourcq;
Allons à Pignans depuis Saint etienne;Saint etienne;Pignans;
Je cherche un trajet de Fontaine le port à Arrou;Fontaine le port;Arrou;
Je cherche un train Laudun Gignac mardi;Laudun;Gignac;mardi
Emmène moi de Metz à Grésy sur aix;Metz;Grésy sur aix;
Je souhaiterai avoir des informations sur le train Mortiers Esquelbecq qui part dans un moment;Mortiers;Esquelbecq;dans un moment
Quel trajet pour Chavenon Laudun;Chavenon;Laudun;
Depuis Albias à Clerval;Albias;Clerval;
Je pars de Gilly lès cîteaux pour aller à Dissay mardi soir;Gilly lès cîteaux;Dissay;mardi soir
de Lardy à Dommartin;Lardy;Dommartin;
Je suis actuellement à Dieupentale et j aimerais partir à Châtillon sur seine;Dieupentale;Châtillon sur seine;
Je souhaiterai avoir des informations sur le train Morannes Pérols sur vézère;Morannes;Pérols sur vézère;
Quel est l'itinéraire entre Morgny la pommeraye et Saint clément;Morgny la pommeraye;Saint clément;
jeudi après midi  je voudrais aller de Nantes à Chauny;Nantes;Chauny;jeudi après-midi
Je souhaiterai avoir des informations sur le train Autet Lavoûte sur loire;Autet;Lavoûte sur loire;
Je quitte Malansac pour Courtenay;Malansac;Courtenay;
La ligne Frasne Forbach;Frasne;Forbach;
J'irai bien à la gare de La Verriere depuis la gare de Saint sulpice laurière;Saint sulpice laurière;La Verriere;
Lurbe saint christau Yzeure;Lurbe saint christau;Yzeure;
Quel est l'itinéraire entre Keskastel et Turenne;Keskastel;Turenne;
Je suis à Éveux et je veux aller à Roye;Éveux;Roye;
Plerguer Saint symphorien de marmagne;Plerguer;Saint symphorien de marmagne;
Je souhaiterai avoir des informations sur le train Champigny Peyrilles;Champigny;Peyrilles;
le départ et l'arrivée de mon voyage sont Kilstett et Buzançais;Kilstett;Buzançais;
Je cherche un train Luneville Blanzy;Luneville;Blanzy;
Je suis actuellement à Saint egreve et j aimerais partir à Nancy samedi soir;Saint egreve;Nancy;samedi soir
Ma provenance et ma destination sont Boën et Calonne ricouart;Boën;Calonne ricouart;
Je pars de Fontenay le comte pour aller à Aubevoye samedi soir;Fontenay le comte;Aubevoye;samedi soir
Je suis à Crampagna et je veux aller à Valmy;Crampagna;Valmy;
samedi après midi Rampan Sénas;Rampan;Sénas;samedi après-midi
Je quitte Munster pour Marlieux;Munster;Marlieux;
Je prends le train Beynost Longevilles mont d'or vendredi après midi;Beynost;Longevilles mont d'or;vendredi après-midi
Allassac Langeac;Allassac;Langeac;
aujourd'hui  je voudrais aller de Saint avre à Suippes;Saint avre;Suippes;aujourd'hui
je vais à Saint ouen l'aumone depuis Challans;Challans;Saint ouen l'aumone;
dimanche matin  je voudrais aller de Châteauneuf sur isère à Drap;Châteauneuf sur isère;Drap;dimanche matin
Je suis à Laigneville et je souhaite me rendre à Le Pont de beauvoisin;Laigneville;Le Pont de beauvoisin;
itinéraire Oxelaëre Schiltigheim;Oxelaëre;Schiltigheim;
L'arrivée et le départ de mon voyage sont Saône et Saint marcellin;Saint marcellin;Saône;
Je partirais de Bretigny pour aller à Peseux;Bretigny;Peseux;
Je cherche un train Aulnay sous bois Cubzac les ponts;Aulnay sous bois;Cubzac les ponts;
Je prends le train Grandvillars Nonant le pin;Grandvillars;Nonant le pin;
Comment aller de Saverdun à Sallanches;Saverdun;Sallanches;
Je pars de Leforest pour aller à Molinges;Leforest;Molinges;
Elne Saillagouse le mois prochain;Elne;Saillagouse;le mois prochain
Je cherche un train Xeuilley Martigny les bains mercredi après midi;Xeuilley;Martigny les bains;mercredi après-midi
demain soir  je voudrais aller de Fenouillet à Oissel;Fenouillet;Oissel;demain soir
Villeneuve d'ascq depuis Terminiers;Terminiers;Villeneuve d'ascq;
Je veux aller de Basse ham à Cinq mars la pile;Basse ham;Cinq mars la pile;
Depuis Peille à Bétaille;Peille;Bétaille;
Je pars dans une demi heure de Arches pour aller à Porta;Arches;Porta;dans une demi-heure
Je cherche le train le plus rapide pour faire Le Plessis belleville Beynes lundi matin;Le Plessis belleville;Beynes;lundi matin
J'irai bien à la gare de Blois depuis la gare de Portieux;Portieux;Blois;
Je pars de Domblans pour aller à Pins justaret;Domblans;Pins justaret;
Emmène moi de Anor à Vierzy;Anor;Vierzy;
train Brignais Saint priest la semaine prochaine;Brignais;Saint priest;la semaine prochaine
Je voudrais aller de Clerval à Callac;Clerval;Callac;
dans une demi heure  je vais à Novillars depuis Brax;Brax;Novillars;dans une demi-heure
je viens de Mailly la ville et je veux aller à Arc lès gray;Mailly la ville;Arc lès gray;
Ma provenance et ma destination sont Grasse et Montcornet;Grasse;Montcornet;
Je veux trouver un trajet de Maxilly sur saône à Sury le comtal;Maxilly sur saône;Sury le comtal;
La ligne Tassin la demi lune Houilles;Tassin la demi lune;Houilles;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Loon plage et gare de Bolozon;Loon plage;Bolozon;
Je cherche le train le plus rapide pour faire Garnay Domfront en champagne;Garnay;Domfront en champagne;
Je prends le train Barsac Chamonix mont blanc jeudi matin;Barsac;Chamonix mont blanc;jeudi matin
Je pars de Dorlisheim pour aller à Saint pé de bigorre lundi;Dorlisheim;Saint pé de bigorre;lundi
dans six heures  je voudrais aller de Saint pierre lès nemours à Thoiry;Saint pierre lès nemours;Thoiry;dans six heures
Je pars de Villemomble pour aller à Vendenheim;Villemomble;Vendenheim;
Comment aller de Parempuyre à Loudéac;Parempuyre;Loudéac;
Itiniréraire jusqu'a Beuvry depuis Groslay;Groslay;Beuvry;
Je veux aller à Portieux depuis Meudon;Meudon;Portieux;
Comment aller de Vernaison à Mérenvielle lundi après midi;Vernaison;Mérenvielle;lundi après-midi
Comment aller de Arbois à Bergues;Arbois;Bergues;
Ax les thermes depuis Saint germain en laye;Saint germain en laye;Ax les thermes;
lundi matin Wissous Fère en tardenois;Wissous;Fère en tardenois;lundi matin
Le train Saint gildas des bois Nurieux volognat;Saint gildas des bois;Nurieux volognat;
Le train Tullins Chambourg sur indre;Tullins;Chambourg sur indre;
